,title,description
3925,Dwelling Units FY 2014,"The Department of Building and Safety issues permits for the construction, remodeling, and repair of buildings and structures in the City of Los Angeles.  Permits are categorized into building permits, electrical permits, and mechanical permits (which include plumbing, HVAC systems, fire sprinklers, elevators, and pressure vessels).  Depending on the complexity of a project, a permit may be issued the same day with Express Permit or e-Permit (""No Plan Check"" category), or a permit may require that the plans be reviewed (""Plan Check"" category) by a Building and Safety Plan Check personnel."
3926,Street Design Concept Plans,"Displays the location of the Street Design Concept Plans in Seattle along with a link to a pdf document that outlines information about the plan.����<br /><br />| Attribute Information:��<a href='https://www.seattle.gov/Documents/Departments/SDOT/GIS/Street_Design_Concept_Plans_OD.pdf' target='_blank'>
https://www.seattle.gov/Documents/Departments/SDOT/GIS/Street_Design_Concept_Plans_OD.pdf</a>��<br /><br />| Website: 
<a href='https://www.seattle.gov/transportation/projects-and-programs/programs/urban-design-program/street-design-concept-plans' target='_blank'>https://www.seattle.gov/transportation/projects-and-programs/programs/urban-design-program/street-design-concept-plans</a> <br />| Update Cycle: As Needed��<br />| Contact Email:��<a href='mailto:DOT_IT_GIS@seattle.gov' target='_blank'>DOT_IT_GIS@seattle.gov</a>"
3927,2007 Traffic Flow Counts,"This contains data maintained by SDOT that is related to the study of traffic patterns in the city.�� The volumes in the data represent the Average Annual Weekday Traffic (AAWDT) (5-day, 24-hour) for that section of roadway.����<br /><br />| Attribute Information:��<a href='https://www.seattle.gov/Documents/Departments/SDOT/GIS/2007_Traffic_Flow_Counts_OD.pdf' target='_blank'>https://www.seattle.gov/Documents/Departments/SDOT/GIS/2007_Traffic_Flow_Counts_OD.pdf</a> <br /><br />| Update Cycle: As Needed <br />| Contact Email:��<a href='mailto:DOT_IT_GIS@seattle.gov' target='_blank'>DOT_IT_GIS@seattle.gov</a>"
3928,Approved BB B&S Permit Issuance,"The Department of Building and Safety issues permits for the construction, remodeling, and repair of buildings and structures in the City of Los Angeles.  Permits are categorized into building permits, electrical permits, and mechanical permits (which include plumbing, HVAC systems, fire sprinklers, elevators, and pressure vessels).  Depending on the complexity of a project, a permit may be issued the same day with Express Permit or e-Permit (""No Plan Check"" category), or a permit may require that the plans be reviewed (""Plan Check"" category) by a Building and Safety Plan Check personnel."
3929,Urban Creek Watersheds,"��<span style='font-family: Verdana, Helvetica, sans-serif; font-size: 12px; line-height: 18px; background-color: rgb(255, 255, 255);'>A polygon feature class showing urban creek watersheds in King County. It also provides information on its alternative name, area, and absolute location.��</span>"
3930,City Property - Property Management Areas,"Property currently owned or leased by the City, aggregated by Property Management Area. Differs from ��City Property ��Subject Parcels�� in that this feature class does not show individual property transactions, whether acquired or disposed."
3931,Seattle Parks,"<p><span>Parks or properties maintained or managed by Seattle Parks that are within the city limits. Park properties include offices��or other park maintained or managed��buildings.</span><br /></p><div><span><div></div><div>Includes properties that are managed by Seattle Parks.�� Also, includes parks that may not be a &quot;park&quot; but offices or buildings.</div></span><br /></div>"
3932,One-Way Streets,One-way streets in Seattle derived from street network database (SND) and Hansen asset management system.����<br /><br />| Attribute Information:��<a href='https://www.seattle.gov/Documents/Departments/SDOT/GIS/One_Way_Streets_OD.pdf' target='_blank'>https://www.seattle.gov/Documents/Departments/SDOT/GIS/One_Way_Streets_OD.pdf</a>��<br /><br />| Update Cycle: Weekly <br />| Contact Email:��<a href='mailto:DOT_IT_GIS@seattle.gov' target='_blank'>DOT_IT_GIS@seattle.gov</a>
3933,Traffic Detectors,"Point locations with in the Seattle Metro area that represents Traffic Detectors which are maintained by Traffic Operations group in SDOT. <br /><br />| Attribute Information:��<a href='https://www.seattle.gov/Documents/Departments/SDOT/GIS/Traffic_Detectors_OD.pdf' target='_blank'>
https://www.seattle.gov/Documents/Departments/SDOT/GIS/Traffic_Detectors_OD.pdf</a>��<br /><br />| Update Cycle: Weekly��<br />| Contact Email:��<a href='mailto:DOT_IT_GIS@seattle.gov' target='_blank'>DOT_IT_GIS@seattle.gov</a>"
3934,City Property - Subject Parcels,"<div style='text-align:Left;'><div><div><p style='margin:0 0 0 0;'><span><span>Geographically displays the transactions related to city owned property. Differs from ���City Property ��� Property Management Areas��� in that 1) this feature class displays property that may be owned by one department but is being used by another, and 2) this feature class includes the polygons representing the transactions where property has been disposed and is no longer owned or leased by the City.</span></span></p></div></div></div>"
3935,Bike Racks,"Displays the location of bike racks that are owned and maintained by SDOT.  <br /><br />| Attribute Information:��<a href='https://www.seattle.gov/Documents/Departments/SDOT/GIS/Bike_Racks_OD.pdf' rel='nofollow ugc' target='_blank'>https://www.seattle.gov/Documents/Departments/SDOT/GIS/Bike_Racks_OD.pdf</a> <br /><br />| Data Confidence: High��<br />| Data Confidence Source:��<a href='https://www.seattle.gov/Documents/Departments/SDOT/About/SDOT2015SCReportFinal12-7-2015.pdf' rel='nofollow ugc' target='_blank'>2015 SDOT Asset Management, Status and Condition Report</a>��<br /><br />| Update Cycle: Weekly <br />| Contact Email:��<a href='mailto:DOT_IT_GIS@seattle.gov' rel='nofollow ugc' target='_blank'>DOT_IT_GIS@seattle.gov</a>"
3936,Public Schools,"A point feature class showing public schools. It also provides information on its exact location, phone number, and grades served.��"
3937,Urban Village Demographic Area Profile ACS 5-year 2009-2013,"<i>Data from:����</i><a href='http://www.seattle.gov/opcd/population-and-demographics/american-community-survey#5year' target='_blank'><i>American Community Survey, 5-year Series 2009-2013</i></a><div><span style='color: rgb(51, 51, 51);'><br /></span></div><div><span style='color: rgb(51, 51, 51);'>Urban Village Demographic Area��</span>boundaries with American Community Survey data and attachments of census reports.����<span style='color: rgb(51, 51, 51);'>Urban Village Demographic Areas��are areas composed of census tracts that make up the neighborhood around Urban Centers and Villages��</span><span style='color: rgb(51, 51, 51);'>designated��</span><span style='color: rgb(51, 51, 51);'>in��</span><a href='http://www.seattle.gov/opcd/ongoing-initiatives/comprehensive-plan' target='_blank'>Seattle's Comprehensive Plan</a><font color='#4169e1'>.��</font><span style='color: rgb(51, 51, 51);'>��</span></div><div><span style='color: rgb(51, 51, 51);'><br /></span></div><div><br /></div><div>Neighborhood aggregations of��<span style='color: rgb(51, 51, 51);'>American Community Survey��</span>tract-based data��<font color='#333333'>d</font>erived from the U.S. Census Bureau's demographic profiles (DP02-DP05).�� The geo service includes over 50 attributes of the most frequently requested data.</div><div><font color='#333333'><br /></font></div><div>Also includes custom reports in pdf format as attachments to each neighborhood.</div><div><br /></div><div>When downloading the data, please select &quot;GDB Download&quot; under &quot;Additional Resources&quot; to preserve long field names and attachments.�� The associated file geodatabase contains a separate feature class for three levels of neighborhood geography - council districts, community reporting areas, and urban village demographic areas��that includes these 50+ attributes.</div> <i>Data from:����<a href='http://www.seattle.gov/opcd/population-and-demographics/american-community-survey#5year' target='_blank'>American Community Survey, 5-year Series 2009-2013</a></i>"
3938,Census Blocks 1990,"<div><span><div> A census block is the smallest geographic unit used by the 
United States Census Bureau for tabulation of 100-percent data (data 
collected from all houses, rather than a sample of houses). Census 
blocks are grouped into block groups, which are grouped into census 
tracts. There are on average about 39 blocks per block group. Blocks 
typically have a four-digit number; the first number indicates which 
block group the block is in. For example, census block 3019 would be in 
block group 3.
Blocks are typically bounded by streets, roads or creeks. In cities, a 
census block may correspond to a city block, but in rural areas where 
there are fewer roads, blocks may be limited by other features. </div></span></div>"
3939,New commercial above 10MM,"The Department of Building and Safety issues permits for the construction, remodeling, and repair of buildings and structures in the City of Los Angeles.  Permits are categorized into building permits, electrical permits, and mechanical permits (which include plumbing, HVAC systems, fire sprinklers, elevators, and pressure vessels).  Depending on the complexity of a project, a permit may be issued the same day with Express Permit or e-Permit (""No Plan Check"" category), or a permit may require that the plans be reviewed (""Plan Check"" category) by a Building and Safety Plan Check personnel."
3940,Master Address File (MAF),"Displays citywide address points using TRANSPO.MAFDAP_PV.  Differs from 
TRANSPO.DAP in that it contains address data.  Attributes include house 
number and modifier, directional, street name, and street type.  Does 
not display when zoomed out beyond 1:10,000.  Labels are based on the 
attribute MAF_HSENUMMOD and do not display when zoomed out beyond 
1:3,000. ATTRIBUTE INFORMATION: MAILUSECODE ? Identifies suitability of 
MAF address and associated MAFUNIT record(s) for use as a mailing 
address. This field serves as an indicator whether the address is being 
utilized in the City?s Utility Billing System. If so, it is more likely 
(but still not guaranteed) to be a valid mailing address. DCLUSTAT - 
Description of address establishment and validation status related to 
DCLU business                        process.  Valid values:  ?INITIAL 
VALUE?  ? SPU-added records are assigned this value upon creation.   
?DRAFT? ? only DPD-added records are assigned this value upon creation. 
  ?FIELD VERIFIED? ? only DPD can assign this value. Indicates that DPD 
at some point  conducted a site visit. This value is not reliably 
assigned and is not necessarily an indicator of a correct address.  
?CANCELED? ? only DPD can assign this value. The address was never 
utilized.  ?RETIRED? ? DPD or SPU can assign this value. The address may
 have been utilized for some period of time but was then replaced by a 
different address for the location or retired from use completely. 
DCLUSTATDT - Date of creation or modification of record. SOURCENAME - 
Descriptive character string identifying  agency, department or 
divisional record    source or usage. Valid values:  ?DPD_MAF? ? Added 
or modified by DPD  ?CGDB_MAFEDITS? ? Added or modified by SPU  
?INIT_MAF? ? The initial record value, likely harvested from King County
 Assessor data when the     MAF/DAP was first implemented."
